"category","confidence","direct_link","name","relevance","type"
"Robotics","Direct","https://userweb.ucs.louisiana.edu/~jev9637/","C.R.A.W.LAB (Controls, Robotics, and Automation)","Conducts research on controls, robotics, and automation with a focus on human interaction. Projects include autonomous surface vehicles (RoboBoat) and robot arms.","Lab"
"Space","Direct","https://ee.louisiana.edu/research/cape","CAPE (Cajun Advanced Picosatellite Experiment)","An undergraduate student-run organization that researches, designs, and builds picosatellites (CubeSats) for NASA missions, including CAPE-3 and CAPE-4.","Organization"
"Space","Direct","https://rac.louisiana.edu/","UL Lafayette/NASA Regional Application Center (RAC)","Partners with NASA to support space-related research, technology development, and remote sensing initiatives.","Center"
"Aerospace","Direct","https://engineering.louisiana.edu/","UL Lafayette Rocketry Team","A student team that participates in the NASA Student Launch competition, designing and launching high-powered rockets.","Team"
"Space","Direct","https://louisiana.edu/news/student-researchers-star-power-impresses-nasa","UL Lafayette Starshade Team","Designs and builds small-scale starshades for NASA to enhance exoplanet detection using inflatable truss systems.","Team"
"Robotics","Direct","https://ee.louisiana.edu/","IEEE UL Lafayette Student Branch","Includes a robotics competition team that has won regional competitions and provides hands-on engineering experience in robotics and electrical systems.","Organization"
"Robotics","Direct","https://materials.louisiana.edu/facilities/robotics","Institute for Materials Research & Innovation (IMRI) Robotics Lab","Focuses on the intersection of advanced materials and robotics, supporting research and innovation in robotic platforms.","Lab"
"Robotics","Strongly Adjacent","https://lite3d.com/","Louisiana Immersive Technologies Enterprise (LITE)","Develops immersive and robotic technologies applied to aerospace training, simulation, and autonomous systems.","Center"
"Robotics","Strongly Adjacent","https://mechanical.louisiana.edu/current-students/organizations","ASME UL Lafayette Student Chapter","Active student chapter involved in mechanical design and robotics competitions, often collaborating with other engineering groups.","Organization"
"Robotics","Strongly Adjacent","https://mechanical.louisiana.edu/","Fluid Power Vehicle Team","A mechanical engineering competition team that designs and builds innovative vehicles using fluid power and controls.","Team"
"Robotics","Direct","https://www.autodrivechallenge.com/","AutoDrive Challenge II Team","Mentioned in relation to the university's AI journey and autonomous vehicle competitions.","Team"
"Space","Direct","https://seds.org/","SEDS (Students for the Exploration and Development of Space) UL Lafayette Chapter","Historically mentioned in engineering competition contexts; activity in 2026 requires verification.","Organization"
"Aerospace","Direct","https://www.aiaa.org/","AIAA (American Institute of Aeronautics and Astronautics) Student Chapter","Faculty affiliation indicates a likely student branch; direct student-led presence needs confirmation.","Organization"
