Name,Type,Category,Relevance,Confidence,Direct Link
Yale Undergraduate Aerospace Association (YUAA),Design Team / Student Org,Aerospace,"Premier undergraduate aerospace engineering, rocketry, and aviation organization at Yale.",Direct,https://ocs.yale.edu/organizations/yale-undergraduate-aerospace-association/
Yale Drop Team,Design Team / Student Org,Space / Microgravity,Student team that designed and conducted microgravity experiments on complex plasmas aboard NASA's reduced-gravity aircraft.,Direct,https://news.yale.edu/2008/09/26/student-scientists-board-nasa-aircraft-weightless-experiment
Yale Astronomical & Space Student Society (YASSS),Student Org,Astronomy / Space,Undergraduate organization dedicated to building a community for astronomy majors and space enthusiasts via stargazing and events.,Direct,https://astronomy.yale.edu/about/yale-astronomical-space-student-society
Yale Center for Astronomy and Astrophysics (YCAA),Center,Astronomy / Astrophysics,"Interdisciplinary research center spanning the Physics and Astronomy departments focused on dark matter, cosmology, and the universe's evolution.",Direct,https://physics.yale.edu/research/associated-centers-and-departments
Yale Wright Laboratory,Laboratory,Astrophysics / Instrumentation,"Core facility supporting research in particle physics, astrophysics, and the development of advanced instrumentation for dark matter and neutrino studies.",Direct,https://wlab.yale.edu/
Yale Exoplanet Group,Faculty Group / Lab,Planetary Science,Research group that studies exoplanets and built the Extreme Precision Spectrometer (EXPRES) to search for Earth-like planets.,Direct,https://expres2.astro.yale.edu/
Yale Center for the Invisible Universe (YCIU),Center,Astrophysics,"Research center dedicated to exploring fundamental cosmic forces through the study of dark matter, dark energy, black holes, and neutrinos.",Direct,https://invisibleuniverse.yale.edu/
Earth Observation Lab (EOL),Laboratory,Remote Sensing / UAV,Consolidates satellite remote sensing and UAV technologies for geospatial research under the Yale Center for Geospatial Solutions.,Direct,https://geospatial.yale.edu/our-history
U.S. Space Command Academic Engagement Enterprise,Student Org,Space Policy / Workforce,"Partners with US Space Command to shape the future space workforce, providing Yale students with mentorship and space applied research opportunities.",Direct,https://engineering.yale.edu/school-experience/student-clubs-and-organizations
AIAA Yale Student Branch,Professional Society,Aerospace,"Yale student branch of the world's largest technical aerospace society, providing mentorship and aerospace engineering opportunities.",Direct,https://engineering.yale.edu/school-experience/student-clubs-and-organizations
Department of Astronomy,Departmental Program,Astronomy / Planetary,"Academic department offering extensive research and coursework in astrophysics, cosmology, and planetary science.",Direct,https://astronomy.yale.edu/
Leitner Family Observatory and Planetarium,Observatory,Astronomy,"On-campus observatory and digital planetarium facilitating undergraduate research, coursework, and public outreach in astronomy.",Direct,https://leitnerobservatory.yale.edu/
The GRAB Lab,Laboratory,Robotics / UAV,"Develops compliant robotic grippers allowing Unmanned Aerial Vehicles (UAVs) to hover, grasp, and manipulate objects in mid-air.",Strongly Adjacent,https://www.eng.yale.edu/grablab/research_aerial.html
Yale Faboratory,Laboratory,Robotics,"Develops soft robotics, intelligent materials, and adaptive systems which hold potential for advanced aerospace and extraterrestrial surface exploration, though not explicitly space-focused.",Loosely Adjacent,https://www.eng.yale.edu/faboratory/
Bulldog Racing,Design Team,Vehicle Dynamics,"Formula SAE team focused on automotive racing; involves highly transferable aerospace skills such as complex mechanical design, aerodynamics, and composite materials.",Loosely Adjacent,https://engineering.yale.edu/school-experience/student-clubs-and-organizations
Chem-E-Car,Design Team,Propulsion,"Designs small-scale chemically powered vehicles; involves power generation, chemical reactions, and fluid dynamics akin to chemical rocketry principles.",Loosely Adjacent,https://engineering.yale.edu/school-experience/student-clubs-and-organizations
FIRST at Yale (FaY),Student Org,Robotics,Supports FIRST robotics teams and competitions; provides foundational engineering and robotics experience that strongly correlates with aerospace career pathways.,Loosely Adjacent,https://ysea.org/community-engagement/first-robotics/
